Flight date:   10/03/2019
Airport: FAOR  ==>>  HAAB
Time[min], Latitude[deg], Longitude[deg], Altitude[km]
-0.0, -26.0871, 28.2523, 2057.0
0.2, -26.0731, 28.2566, 2126.0
0.6, -26.0531, 28.263, 2248.0
0.9, -26.0326, 28.2701, 2385.0
1.2, -26.017, 28.2826, 2530.0
1.4, -26.0067, 28.3021, 2652.0
1.7, -26.0016, 28.3278, 2873.0
2.5, -25.9875, 28.3975, 3216.0
2.9, -25.9729, 28.4315, 3338.0
3.4, -25.9475, 28.4734, 3620.0
3.9, -25.9207, 28.5176, 3962.0
4.4, -25.8914, 28.5657, 4321.0
4.9, -25.8637, 28.6111, 4572.0
5.4, -25.8351, 28.6581, 4839.0
5.9, -25.806, 28.706, 5075.0
6.4, -25.7776, 28.7526, 5319.0
6.9, -25.7465, 28.8037, 5601.0
7.4, -25.7163, 28.8532, 5799.0
7.8, -25.6927, 28.8893, 6027.0
8.4, -25.6469, 28.9456, 6363.0
8.9, -25.6086, 28.9926, 6637.0
9.4, -25.5719, 29.0374, 6828.0
10.0, -25.5339, 29.084, 7010.0
10.5, -25.495, 29.1314, 7201.0
11.0, -25.4579, 29.1766, 7384.0
11.5, -25.4179, 29.2254, 7597.0
12.0, -25.3785, 29.2735, 7780.0
12.5, -25.3395, 29.321, 7940.0
13.0, -25.2996, 29.3695, 8108.0
13.5, -25.2598, 29.4178, 8252.0
14.0, -25.2185, 29.4682, 8397.0
14.5, -25.1793, 29.5157, 8542.0
15.0, -25.1362, 29.5679, 8687.0
15.5, -25.0943, 29.6185, 8839.0
16.0, -25.0536, 29.6678, 8976.0
16.5, -25.0113, 29.7189, 9114.0
17.0, -24.9707, 29.7679, 9235.0
17.5, -24.9263, 29.8214, 9365.0
18.0, -24.8834, 29.873, 9495.0
18.5, -24.8397, 29.9255, 9609.0
19.0, -24.7962, 29.9779, 9708.0
19.5, -24.7522, 30.0307, 9815.0
20.0, -24.7076, 30.0841, 9921.0
20.5, -24.6635, 30.1368, 10066.0
21.0, -24.6185, 30.1906, 10234.0
21.5, -24.5759, 30.2417, 10386.0
22.0, -24.5312, 30.2952, 10516.0
22.5, -24.4874, 30.3474, 10638.0
23.0, -24.444, 30.3991, 10668.0
23.6, -24.386, 30.4679, 10668.0
24.1, -24.342, 30.5201, 10668.0
24.6, -24.2979, 30.5724, 10668.0
25.1, -24.2541, 30.6243, 10668.0
25.6, -24.2105, 30.676, 10668.0
26.1, -24.1675, 30.7268, 10668.0
26.6, -24.1225, 30.78, 10668.0
27.1, -24.0794, 30.8308, 10668.0
27.6, -24.0353, 30.8828, 10668.0
28.1, -23.9912, 30.9349, 10668.0
28.6, -23.947, 30.9869, 10668.0
29.1, -23.9025, 31.0391, 10668.0
29.6, -23.8588, 31.0903, 10668.0
30.1, -23.815, 31.1416, 10668.0
30.7, -23.7632, 31.202, 10668.0
31.3, -23.7115, 31.2625, 10668.0
31.8, -23.668, 31.3135, 10668.0
32.3, -23.6233, 31.3658, 10668.0
32.8, -23.5793, 31.4171, 10668.0
33.3, -23.535, 31.4685, 10668.0
33.8, -23.4907, 31.5201, 10668.0
34.3, -23.4457, 31.5695, 10668.0
35.0, -23.3756, 31.6313, 10668.0
35.5, -23.3261, 31.6756, 10668.0
36.3, -23.2512, 31.7414, 10668.0
36.8, -23.2012, 31.7847, 10668.0
37.3, -23.1512, 31.8279, 10668.0
37.8, -23.1021, 31.8703, 10668.0
38.3, -23.0532, 31.9129, 10668.0
38.8, -23.0029, 31.9567, 10668.0
39.3, -22.9526, 32.0005, 10668.0
39.8, -22.9033, 32.045, 10668.0
40.3, -22.8556, 32.0885, 10668.0
41.0, -22.7823, 32.1547, 10668.0
41.5, -22.7326, 32.1994, 10668.0
42.3, -22.6593, 32.2651, 10668.0
42.8, -22.6085, 32.3107, 10668.0
43.3, -22.5591, 32.3549, 10668.0
43.8, -22.51, 32.3989, 10668.0
44.8, -22.409, 32.4892, 10668.0
45.3, -22.3583, 32.5346, 10668.0
46.8, -22.2086, 32.6681, 10668.0
47.3, -22.1582, 32.7128, 10668.0
48.3, -22.0602, 32.7999, 10668.0
48.8, -22.01, 32.8449, 10668.0
49.3, -21.9609, 32.8897, 10668.0
49.8, -21.9114, 32.9348, 10668.0
51.4, -21.745, 33.0583, 10668.0
57.6, -20.9506, 33.1446, 10668.0
58.1, -20.8851, 33.1515, 10668.0
58.6, -20.8227, 33.1583, 10668.0
63.3, -20.2121, 33.2225, 10668.0
63.8, -20.1473, 33.2293, 10668.0
64.8, -20.0248, 33.2419, 10668.0
65.8, -19.8904, 33.2562, 10668.0
66.3, -19.8234, 33.2632, 10668.0
72.0, -19.0877, 33.3396, 10668.0
73.2, -18.9244, 33.3564, 10668.0
73.7, -18.8605, 33.3631, 10668.0
74.2, -18.7951, 33.3699, 10668.0
74.7, -18.7305, 33.3766, 10668.0
75.2, -18.6658, 33.3832, 10668.0
75.7, -18.6012, 33.3899, 10668.0
76.3, -18.5363, 33.3966, 10668.0
77.7, -18.3436, 33.4164, 10668.0
78.6, -18.2416, 33.4269, 10668.0
79.6, -18.112, 33.4402, 10668.0
80.1, -18.0475, 33.4468, 10668.0
80.6, -17.9838, 33.4533, 10668.0
81.1, -17.9197, 33.4599, 10668.0
81.6, -17.8546, 33.4666, 10668.0
82.1, -17.7891, 33.4732, 10668.0
82.6, -17.7246, 33.4799, 10668.0
