Time (EDT) 	Latitude 	Longitude 	kts 	feet 
Sat 08:48:14 AM 	8.6181	38.6949	NaN	NaN
Sat 08:49:49 AM 	8.442	38.6438	NaN	NaN
Sat 08:51:46 AM 	8.225	38.581	NaN	NaN
Sat 08:53:53 AM 	7.9894	38.5129	NaN	NaN
Sat 08:55:05 AM 	7.8559	38.4743	NaN	NaN
Sat 08:56:37 AM 	7.6852	38.425	NaN	NaN
Sat 08:58:12 AM 	7.509	38.3742	NaN	NaN
Sat 09:00:03 AM 	7.3031	38.3149	NaN	NaN
Sat 09:02:16 AM 	7.0564	38.2439	NaN	NaN
Sat 09:03:20 AM 	6.9377	38.2097	NaN	NaN
Sat 09:05:06 AM 	6.741	38.1532	NaN	NaN
Sat 09:06:26 AM 	6.5926	38.1106	NaN	NaN
Sat 09:08:35 AM 	6.3533	38.0419	NaN	NaN
Sat 09:10:06 AM 	6.1844	37.9935	NaN	NaN
Sat 09:11:46 AM 	5.9989	37.9403	NaN	NaN
Sat 09:13:17 AM 	5.8301	37.892	NaN	NaN
Sat 09:14:53 AM 	5.6519	37.8409	NaN	NaN
Sat 09:16:40 AM 	5.4534	37.7841	NaN	NaN
Sat 09:17:40 AM 	5.3421	37.7523	NaN	NaN
Sat 09:20:04 AM 	5.0749	37.676	NaN	NaN
Sat 09:21:39 AM 	4.8986	37.6257	NaN	NaN
Sat 09:23:47 AM 	4.661	37.5579	NaN	NaN
Sat 09:25:07 AM 	4.5126	37.5156	NaN	NaN
Sat 09:26:40 AM 	4.34	37.4664	NaN	NaN
Sat 09:28:21 AM 	4.1525	37.413	NaN	NaN
Sat 09:29:30 AM 	4.0207	37.4312	467	"35,975"
Sat 09:30:26 AM 	3.9057	37.4101	467	"36,000"
Sat 09:31:24 AM 	3.7777	37.3867	469	"35,975"
Sat 09:31:56 AM 	3.7133	37.3748	470	"36,000"
Sat 09:32:57 AM 	3.584	37.3511	470	"35,975"
Sat 09:33:56 AM 	3.4559	37.3277	471	"36,000"
Sat 09:34:26 AM 	3.3913	37.3158	471	"36,000"
Sat 09:34:57 AM 	3.3266	37.3039	471	"36,000"
Sat 09:35:27 AM 	3.2632	37.2923	471	"35,975"
Sat 09:35:57 AM 	3.1972	37.2802	471	"36,000"
Sat 09:36:27 AM 	3.1331	37.2685	471	"35,975"
Sat 09:36:57 AM 	3.0677	37.2565	471	"36,000"
Sat 09:37:27 AM 	3.0033	37.2447	473	"36,000"
Sat 09:37:57 AM 	2.9385	37.2328	473	"35,975"
Sat 09:38:57 AM 	2.809	37.209	474	"35,975"
Sat 09:39:27 AM 	2.7435	37.1971	473	"36,000"
Sat 09:39:58 AM 	2.6783	37.1851	473	"36,000"
Sat 09:40:58 AM 	2.5501	37.1616	472	"36,000"
Sat 09:41:55 AM 	2.4199	37.1379	474	"35,975"
Sat 09:42:26 AM 	2.3541	37.1258	475	"36,000"
Sat 09:42:58 AM 	2.2891	37.114	475	"36,000"
Sat 09:43:28 AM 	2.224	37.102	475	"36,000"
Sat 09:44:25 AM 	2.0934	37.0782	476	"36,000"
Sat 09:44:58 AM 	2.0289	37.0663	477	"35,975"
Sat 09:45:57 AM 	1.9001	37.0427	478	"36,000"
Sat 09:46:28 AM 	1.8325	37.0303	479	"36,000"
Sat 09:47:00 AM 	1.7616	37.0173	477	"36,000"
Sat 09:47:39 AM 	1.6769	37.0019	476	"35,975"
Sat 09:48:16 AM 	1.5977	36.9874	475	"36,000"
Sat 09:48:46 AM 	1.5319	36.9754	475	"35,975"
Sat 09:49:20 AM 	1.4586	36.9621	476	"35,975"
Sat 09:50:02 AM 	1.364	36.9448	475	"36,000"
Sat 09:50:55 AM 	1.2522	36.9242	476	"36,000"
Sat 09:51:35 AM 	1.1643	36.9081	472	"36,000"
Sat 09:52:16 AM 	1.0767	36.8921	466	"35,975"
Sat 09:52:46 AM 	1.0128	36.8804	463	"35,975"
Sat 09:53:17 AM 	0.9493	36.8688	461	"36,000"
Sat 09:53:47 AM 	0.8865	36.8573	461	"36,000"
Sat 09:54:17 AM 	0.8234	36.8459	460	"36,000"
Sat 09:54:47 AM 	0.7593	36.8342	461	"36,000"
Sat 09:55:17 AM 	0.6966	36.8227	461	"35,975"
